0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:00:47 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:00:55 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:01:06 +0530] "POST /EmployeeManagement/LoginServlet HTTP/1.1" 500 4124
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:07:18 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:07:34 +0530] "GET /EmployeeManagement/ HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:08:00 +0530] "POST /EmployeeManagement/LoginServlet HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:08:06 +0530] "GET /EmployeeManagement/empReg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:08:08 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:08:09 +0530] "GET /EmployeeManagement/allEmp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:08:12 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:24:48 +0530] "GET /EmployeeManagement/empReg HTTP/1.1" 200 7538
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:31:51 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:31:53 +0530] "GET /EmployeeManagement/allEmp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [19/Jul/2018:12:55:46 +0530] "GET /EmployeeManagement/jsps/EmployeeHomePage.jsp HTTP/1.1" 200 748
